empid,FirstName,LastName,gender,Job Title Description,Hire Date,Rehire Date,Termination Date,Termination Reason Description,City,State,Zip,Business Unit Code,Pay Frequency,BirthDate,RegularPayRate,Scheduled Hours,Pay Grade Description,FLSA Code,Protected Veteran Status,Voluntary Involuntary Termination Flag,Home Department Code,Standard Hours,Years of Service,Position Status,Location Code,isTerm_F,is90_Day_Rookie_F,isOneYear_Rookie_F
1064,,,Female,Sr. CNA/Preceptor SCU,2/23/82,NULL,NULL,,Brockport,NY,14420,1616,Weekly,1/1/54,,40,23,N,,,160156,,"35 year, 11 months",Active,16010,0,0,0
1068,,,Female,Home & Heart Coordinator,1/24/94,NULL,NULL,,Rochester,NY,14612,3630,Biweekly,1/1/54,,40,30,E,,,160811,80,"24 year, 0 month",Active,16081,0,0,0
1076,,,Female,CNA LCC,10/21/13,NULL,NULL,,Rochester,NY,14615,1604,Weekly,1/1/82,,20,22,N,,,160415,,"4 year, 3 months",Active,16040,0,0,0
1077,,,Female,Dining Service Assistant,6/18/17,NULL,2/15/18,Did Not PD Req,Rochester,NY,14621,1814,Weekly,1/1/96,,8,20,N,I am not a protected veteran,,181173,,"0 year, 7 months",Active,11000,1,0,1
1078,,,Female,C/O Concierge,9/30/17,NULL,NULL,,Rochester,NY,14622,4848,Weekly,1/1/61,,24,22,N,I am not a protected veteran,,483816,,"0 year, 4 months",Active,40000,0,0,0
1079,,,Female,Sr. LPN 3rd Flr,4/4/16,NULL,NULL,,Rochester,NY,14621,1623,Weekly,1/1/90,,40,28,N,I am not a protected veteran,,162332,,"1 year, 10 months",Active,11000,0,0,0
1080,,,Female,CNA WTCC1,8/21/17,NULL,1/8/18,Abandoned Job,Rochester,NY,14605,1614,Weekly,1/1/89,,20,22,N,I am not a protected veteran,Voluntary,161157,,"0 year, 4 months",Terminated,16110,1,0,1
1084,,,Female,Resident Care Aide - The Glen,11/26/07,NULL,NULL,,Rochester,NY,14606,6865,Weekly,1/1/62,,1,21,N,,,660225,,"10 year, 2 months",Active,60000,0,0,0
1093,,,Female,C/R Assisted Living Manager,12/27/93,5/1/00,NULL,,Rochester,NY,14621,6865,Biweekly,1/1/64,,40,29,E,,,660101,80,"17 year, 9 months",Active,60000,0,0,0
1097,,,Female,CNA 7th Flr,8/20/12,NULL,NULL,,Henrietta,NY,14467,1627,Weekly,1/1/67,,37.5,22,N,,,162752,,"5 year, 5 months",Active,11000,0,0,0
1098,,,Female,C/R Concierge,5/20/13,NULL,NULL,,Rochester,NY,14616,6820,Weekly,1/1/66,,13.5,22,N,,,683816,,"4 year, 8 months",Active,60000,0,0,0
1101,,,Female,Reimbursement Nurse Specialist,2/25/13,NULL,4/17/18,Another Job,Penfield,NY,14526,1600,Weekly,1/1/50,,1,NC Crd/ReimNr,E,,,160092,,"0 year, 0 month",Terminated,11000,1,1,1
1102,,,Male,Sr. VP/CFO,9/26/11,NULL,NULL,,Irondequoit,NY,14622,1860,Biweekly,1/1/58,,40,"98- Sr VP, 15% Target Bonus",E,,,183901,80,"6 year, 4 months",Active,11000,0,0,0
1104,,,Male,C/R KUA/Runner,4/16/16,NULL,NULL,,Rochester,NY,14621,6840,Weekly,1/1/98,,14,20,N,I am not a protected veteran,,682117,,"1 year, 10 months",Active,60000,0,0,0
1109,,,Female,CNA 4th Flr,10/18/10,5/7/12,NULL,,Rochester,NY,14605,1624,Weekly,1/1/87,,1,22,N,,,162452,,"5 year, 9 months",Active,11000,0,0,0
1114,,,Female,CNA SACC,3/6/17,NULL,1/11/18,Abandoned Job,Rochester,NY,14621,2600,Weekly,1/1/89,,8,22,N,I am not a protected veteran,,260405,,"0 year, 10 months",Terminated,20000,1,0,1
1116,,,Female,CNA 2nd Flr,8/7/17,NULL,NULL,,Rochester,NY,14613,1622,Weekly,1/1/92,,24,22,N,I am not a protected veteran,,162952,,"0 year, 6 months",Active,11000,0,0,0
1136,,,Female,Chief Medical Officer,6/29/87,NULL,NULL,,Webster,NY,14580,1740,Biweekly,1/1/55,,40,"97- VP, 15% Target Bonus",E,,,174101,80,"30 year, 7 months",Active,11000,0,0,0
1139,,,Female,CNA LCC,3/14/16,NULL,NULL,,rochester,NY,14621,1604,Weekly,1/1/69,,16,22,N,I am not a protected veteran,,160415,,"1 year, 11 months",Active,16040,0,0,0
1144,,,Female,Financial Liaison,4/20/15,NULL,NULL,,Rochester,NY,14611,1862,Biweekly,1/1/70,,40,31,E,I am not a protected veteran,,183102,80,"2 year, 9 months",Active,11000,0,0,0
1145,,,Female,Wound Ostomy Nurse Practitioner,6/5/17,NULL,NULL,,Spencerport,NY,14559,1900,Biweekly,1/1/73,,32,35,N,I am not a protected veteran,,160502,64,"0 year, 8 months",Active,16050,0,0,0
1146,,,Female,Cafeteria Srvc Asst,9/19/05,NULL,2/27/18,Walked Off Job,Rocehster,NY,14621,1827,Weekly,1/1/55,,37.5,20,N,,,182475,,"12 year, 4 months",Active,11000,1,0,0
1148,,,Male,Dining Services Manager,6/2/86,NULL,NULL,,Walworth,NY,14568,1800,Biweekly,1/1/67,,40,29,E,,,182111,80,"31 year, 8 months",Active,11000,0,0,0
1150,,,Female,PM Dining Service Assistant,9/25/17,NULL,NULL,,Rochester,NY,14621,1814,Weekly,1/1/94,,1,20,N,I am not a protected veteran,,181173,,"0 year, 4 months",Active,11000,0,0,0
1154,,,Female,Home & Heart Program Assistant,3/7/11,NULL,NULL,,Rochester,NY,14609,3630,Weekly,1/1/86,,20,22,N,,,160815,,"6 year, 11 months",Active,16081,0,0,0
1156,,,Female,CNA WTCC3,6/26/17,NULL,NULL,,Rochester,NY,14609,1618,Weekly,1/1/91,,37.5,22,N,I am not a protected veteran,,161357,,"0 year, 7 months",Active,16130,0,0,0
1159,,,Female,CNA 5th Flr,8/24/15,NULL,NULL,,Rochester,NY,14611,1625,Weekly,1/1/90,,20,22,N,I am not a protected veteran,,162552,,"2 year, 5 months",Active,11000,0,0,0
1160,,,Female,CNA SACC,10/9/17,NULL,4/23/18,Abandoned Job,Rochester,NY,14615,2600,Weekly,1/1/86,,37.5,22,N,I am not a protected veteran,,260405,,"0 year, 4 months",Active,20000,1,0,1
1170,,,Female,HIM Associate,9/29/14,NULL,NULL,,Rochester,NY,14620,1724,Weekly,1/1/66,,37.5,22,N,,,173906,,"3 year, 4 months",Active,11000,0,0,0
1182,,,Female,CNA SACC,6/9/14,NULL,NULL,,Rochester,NY,14626,2600,Weekly,1/1/68,,16,22,N,,,260405,,"3 year, 8 months",Active,20000,0,0,0
1184,,,Female,LPN 8th Flr,5/22/17,NULL,NULL,,Rochester,NY,14613,1628,Weekly,1/1/91,,8,26,N,I am not a protected veteran,,162842,,"0 year, 8 months",Active,11000,0,0,0
1186,,,Female,CNA 9th Flr,1/9/17,NULL,NULL,,Rochester,NY,14613,1629,Weekly,1/1/67,,37.5,22,N,I am not a protected veteran,,161652,,"1 year, 1 month",Active,11000,0,0,0
1197,,,Female,LPN 4th Flr,8/7/17,NULL,NULL,,Rochester,NY,14612,1624,Weekly,1/1/70,,40,26,N,I am not a protected veteran,,162442,,"0 year, 6 months",Active,11000,0,0,0
1199,,,Male,Stationary Engineer,12/1/84,NULL,NULL,,Palmyra,NY,14522,18221,Weekly,1/1/59,,40,29,N,,,182217,,"33 year, 2 months",Active,11000,0,0,0
1200,,,Male,AM Cook,11/27/17,NULL,NULL,,Rochester,NY,14621,1800,Weekly,1/1/62,,40,23,N,I am not a protected veteran,,182171,,"0 year, 2 months",Active,11000,0,0,0
1202,,,Male,LPN 6th Flr,1/24/11,NULL,NULL,,Rochester,NY,14606,1626,Weekly,1/1/80,,40,26,N,,,162642,,"7 year, 0 month",Active,11000,0,0,0
1203,,,Male,TCC Dining Ambassador,11/27/17,NULL,NULL,,Rochester,NY,14616,1800,Weekly,1/1/86,,16,21,N,I am not a protected veteran,,182176,,"0 year, 2 months",Active,11000,0,0,0
1205,,,Male,Per Diem Phys. Therapist,9/2/02,NULL,NULL,,Rochester,NY,14610,1733,Weekly,1/1/64,,1,74- Per Diem: PT/OT/Speech Path,N,,,173302,,"15 year, 5 months",Active,11000,0,0,0
1206,,,Male,Dining Service Assistant,9/11/17,NULL,NULL,,Rochester,NY,14605,1813,Weekly,1/1/82,,15,20,N,I am not a protected veteran,,182172,,"0 year, 5 months",Active,11000,0,0,0
1207,,,Male,AM Cook,10/29/79,NULL,NULL,,Rochester,NY,14620,1815,Weekly,1/1/60,,40,23,N,,,182171,,"38 year, 3 months",Active,11000,0,0,0
1210,,,Male,C/O Facilities Assistant,7/22/04,NULL,NULL,,Rochester,NY,14605,4824,Weekly,1/1/61,,16,20,N,,,482407,,"13 year, 6 months",Active,40000,0,0,0
1213,,,Female,CNA WTCC2,6/20/16,6/20/16,NULL,,Rochester,NY,14613,1615,Weekly,1/1/79,,20,22,N,,,161257,,"1 year, 7 months",Active,16120,0,0,0
1219,,,Female,CNA 9th Flr,1/18/16,NULL,NULL,,Rochester,NY,14624,1629,Weekly,1/1/89,,1,22,N,I am not a protected veteran,,161652,,"2 year, 0 month",Active,11000,0,0,0
1224,,,Female,CNA SCU,7/25/16,NULL,NULL,,Rochester,NY,14612,1616,Weekly,1/1/67,,37.5,22,N,I am not a protected veteran,,160156,,"1 year, 6 months",Active,16010,0,0,0
1231,,,Male,Paint/Carpentry Leader,6/12/06,11/16/09,NULL,,Rochester,NY,14616,1822,Weekly,1/1/44,,1,25,N,,,182207,,"8 year, 3 months",Active,11000,0,0,0
1232,,,Male,Dir. Human Resources,4/8/96,NULL,NULL,,Fairport,NY,14450,1852,Biweekly,1/1/51,,40,"96- Director, 9% Target Bonus",E,,,183911,80,"21 year, 10 months",Active,11000,0,0,0
1237,,,Male,Payroll Specialist,11/20/17,NULL,NULL,,Spencerport,NY,14559,1862,Biweekly,1/1/64,,40,26,E,I am not a protected veteran,,183106,80,"0 year, 2 months",Active,11000,0,0,0
1239,,,Female,Dietetic Support Technician,1/13/97,NULL,NULL,,Rochester,NY,14616,1840,Weekly,1/1/58,,40,25,N,,,182102,,"21 year, 1 month",Active,11000,0,0,0
1242,,,Female,VP Marketing & Community Relat,11/16/92,NULL,NULL,,Victor,NY,14564,1835,Biweekly,1/1/64,,40,"97- VP, 15% Target Bonus",E,,,183551,80,"25 year, 3 months",Active,11000,0,0,0
1243,,,Male,Protective Svc Officer,4/24/17,NULL,NULL,,Rochester,NY,14616,1826,Weekly,1/1/89,,1,21,N,I am not a protected veteran,,182607,,"0 year, 9 months",Active,11000,0,0,0
1248,,,Female,LPN SACC,9/14/15,NULL,NULL,,Rochester,NY,14613,2600,Weekly,1/1/75,,1,26,N,I am not a protected veteran,,260404,,"2 year, 5 months",Active,20000,0,0,0
1252,,,Female,Resident Care Aide - Rainier Grove,10/13/08,NULL,2/27/18,Another Job,Rochester,NY,14617,6870,Weekly,1/1/56,,30,21,N,,,660195,,"9 year, 4 months",Active,60000,1,0,0
1256,,,Female,CNA 2nd Flr,11/13/06,NULL,NULL,,Rochester,NY,14610,1622,Weekly,1/1/80,,40,22,N,I am not a protected veteran,,162952,,"11 year, 3 months",Active,11000,0,0,0
1257,,,Female,Facility Services Coordinator,1/5/09,NULL,NULL,,Rochester,NY,14617,1822,Weekly,1/1/70,,40,24,N,,,182216,,"9 year, 1 month",Active,11000,0,0,0
1258,,,Female,Reimbursement Review Nurse,7/14/14,NULL,NULL,,Pittsford,NY,14534,1600,Weekly,1/1/76,,1,31,N,,,160092,,"3 year, 7 months",Active,11000,0,0,0
1261,,,Female,Lead Retail Assistant,7/3/06,NULL,NULL,,Rochester,NY,14609,1827,Weekly,1/1/63,,37.5,22,N,,,182475,,"11 year, 7 months",Active,11000,0,0,0
1262,,,Female,RN WTCC3,12/15/97,NULL,NULL,,N. Chili,NY,14514,1618,Weekly,1/1/67,,40,30,N,,,161337,,"20 year, 2 months",Active,16130,0,0,0
1263,,,Female,Administrative Assistant,1/3/05,NULL,NULL,,Rochester,NY,14622,3610,Weekly,1/1/53,,37.5,25,N,,,160806,,"13 year, 1 month",Active,16080,0,0,0
1265,,,Female,Chief Nursing Executive,2/22/88,5/15/91,NULL,,Webster,NY,14580,1601,Biweekly,1/1/64,,40,"97- VP, 15% Target Bonus",E,,,160101,80,"26 year, 9 months",Active,11000,0,0,0
1267,,,Female,HR Recruiter,6/17/02,NULL,NULL,,Fairport,NY,14450,1852,Biweekly,1/1/61,,40,29,E,,,183912,80,"15 year, 7 months",Active,11000,0,0,0
1275,,,Female,Staffing Coordinator,7/23/12,NULL,NULL,,Rochester,NY,14617,1601,Weekly,1/1/72,,23,24,N,,,160106,,"5 year, 6 months",Active,11000,0,0,0
1278,,,Female,Recreation Therapist,10/6/14,NULL,NULL,,Rochester,NY,14617,1750,Weekly,1/1/91,,40,25,N,I am not a protected veteran,,172602,,"3 year, 4 months",Active,11000,0,0,0
1280,,,Female,LPN 5th Flr,11/9/15,NULL,NULL,,Rochester,NY,14617,1625,Weekly,1/1/79,,20,26,N,I am not a protected veteran,,162542,,"2 year, 3 months",Active,11000,0,0,0
1281,,,Female,Social Worker BSW Part time,7/10/17,NULL,NULL,,Hilton,NY,14468,1770,Weekly,1/1/75,,20,28,N,I am not a protected veteran,,173802,,"0 year, 7 months",Active,11000,0,0,0
1291,,,Female,Social Work Manager,10/24/16,NULL,NULL,,Fairport,NY,14450,1770,Biweekly,1/1/75,,40,29,E,I am not a protected veteran,,173802,80,"1 year, 3 months",Active,11000,0,0,0
1296,,,Male,Stationary Engineer,4/9/01,NULL,NULL,,Rochester,NY,14617,18221,Weekly,1/1/44,,1,29,N,,,182217,,"16 year, 10 months",Active,11000,0,0,0
1300,,,Male,Protective Svc Officer,4/27/17,NULL,NULL,,Rochester,NY,14621,1826,Weekly,1/1/91,,40,21,N,I am not a protected veteran,,182607,,"0 year, 9 months",Active,11000,0,0,0
1302,,,Male,Physical Therapy Coord,1/7/02,NULL,NULL,,Rochester,NY,14612,1733,Biweekly,1/1/75,,40,35,E,,,173301,80,"16 year, 1 month",Active,11000,0,0,0
1304,,,Female,C/R KUA/Runner,4/24/17,NULL,NULL,,Rochester,NY,14609,6840,Weekly,1/1/61,,1,20,N,I am not a protected veteran,,682117,,"0 year, 9 months",Active,60000,0,0,0
1312,,,Female,Per Diem Phys. Therapist,7/14/14,NULL,NULL,,Webster,NY,14580,1733,Weekly,1/1/83,,1,74- Per Diem: PT/OT/Speech Path,N,,,173302,,"3 year, 7 months",Active,11000,0,0,0
1313,,,Female,Per Diem Occup. Therapist,9/22/14,NULL,NULL,,Rochester,NY,14609,1734,Weekly,1/1/83,,1,74- Per Diem: PT/OT/Speech Path,N,I am not a protected veteran,,173402,,"3 year, 4 months",Active,11000,0,0,0
1314,,,Female,Speech Pathologist,3/9/15,NULL,NULL,,Rochester,NY,14610,1735,Biweekly,1/1/83,,40,32,E,I am not a protected veteran,,173502,80,"2 year, 11 months",Active,11000,0,0,0
1316,,,Female,CNA SACC,6/6/16,NULL,NULL,,Rochester,NY,14620,2600,Weekly,1/1/82,,37.5,22,N,I am not a protected veteran,,260405,,"1 year, 8 months",Active,20000,0,0,0
1317,,,Female,LPN 7th Flr,11/7/17,NULL,NULL,,Rochester,NY,14607,1627,Weekly,1/1/92,,24,26,N,I am not a protected veteran,,162742,,"0 year, 3 months",Active,11000,0,0,0
1318,,,Female,LPN 9th Flr,11/6/17,NULL,NULL,,Rochester,NY,14616,1629,Weekly,1/1/87,,32,26,N,I am not a protected veteran,,161642,,"0 year, 3 months",Active,11000,0,0,0
1320,,,Male,Laundry Worker,6/11/07,NULL,NULL,,Rochester,NY,14609,1825,Weekly,1/1/85,,37.5,20,N,,,182507,,"10 year, 8 months",Active,11000,0,0,0
1326,,,Male,Protective Svc Officer,9/25/16,NULL,NULL,,Rochester,NY,14609,1826,Weekly,1/1/66,,40,21,N,I am not a protected veteran,,182607,,"1 year, 4 months",Active,11000,0,0,0
1330,,,Female,SACC Nutrition Supervisor,7/25/11,NULL,NULL,,Webster,NY,14580,2821,Biweekly,1/1/86,,40,28,E,,,282101,80,"6 year, 6 months",Active,20000,0,0,0
1332,,,Female,Music Therapist,10/22/12,NULL,NULL,,Webster,NY,14580,1750,Weekly,1/1/89,,40,25,N,,,172602,,"5 year, 3 months",Active,11000,0,0,0
1334,,,Female,CNA SCU,2/10/14,NULL,1/23/18,Another Job,Rochester,NY,14626,1616,Weekly,1/1/93,,37.5,22,N,I am not a protected veteran,Voluntary,160156,,"3 year, 11 months",Terminated,16010,1,0,0
1335,,,Female,CNA SACC,5/18/15,NULL,NULL,,Rochester,NY,14624,2600,Weekly,1/1/78,,37.5,22,N,I am not a protected veteran,,260405,,"2 year, 8 months",Active,20000,0,0,0
1337,,,Female,CNA WTCC3,10/17/16,NULL,2/20/18,Absentee-Tardiness,Rochester,NY,14609,1618,Weekly,1/1/85,,20,22,N,I am not a protected veteran,,161357,,"1 year, 3 months",Active,16130,1,0,0
1345,,,Female,CNA 3rd Flr,11/6/17,NULL,NULL,,Rochester,NY,14620,1623,Weekly,1/1/90,,16,22,N,I am not a protected veteran,,162352,,"0 year, 3 months",Active,11000,0,0,0
1347,,,Female,PT Assistant,7/16/07,NULL,NULL,,Rochester,NY,14616,1733,Weekly,1/1/60,,40,27,N,,,173302,,"10 year, 7 months",Active,11000,0,0,0
1352,,,Female,Corporate Controller,10/16/00,NULL,NULL,,Churchville,NY,14428,1862,Biweekly,1/1/77,,40,33,E,,,183101,80,"17 year, 4 months",Active,11000,0,0,0
1353,,,Female,Sr. Nurse Practitioner,8/6/12,NULL,NULL,,Ontario,NY,14519,1740,Biweekly,1/1/85,,40,35,E,,,174102,80,"5 year, 6 months",Active,11000,0,0,0
1355,,,Female,Part Time Healthcare Services Coordinator,6/6/16,NULL,NULL,,Webster,NY,14580,1852,Weekly,1/1/90,,24,31,N,I am not a protected veteran,,183912,,"1 year, 8 months",Active,11000,0,0,0
1361,,,Female,LPN 4th Flr,8/28/17,NULL,4/2/18,Another Job,Rochester,NY,14621,1624,Weekly,1/1/74,,1,26,N,I am not a protected veteran,,162442,,"0 year, 5 months",Active,11000,1,0,1
1365,,,Female,Resident Care Aide - Rainier Grove,1/8/18,NULL,NULL,,Rochester,NY,14608,6870,Weekly,1/1/96,,20,21,N,I am not a protected veteran,,660195,,"0 year, 1 month",Active,60000,0,0,0
1371,,,Female,Education Aide,10/10/11,NULL,NULL,,Rochester,NY,14621,1811,Weekly,1/1/72,,40,24,N,,,181115,,"6 year, 4 months",Active,11000,0,0,0
1377,,,Female,HIM Associate,12/13/93,NULL,NULL,,Rochester,NY,14609,1724,Weekly,1/1/63,,37.5,22,N,,,173906,,"24 year, 2 months",Active,11000,0,0,0
1378,,,Female,Program Assistant,9/28/00,NULL,NULL,,Rochester,NY,14621,3610,Weekly,1/1/64,,37.5,22,N,,,160805,,"17 year, 4 months",Active,16080,0,0,0
1382,,,Female,SACC Receptionist,5/6/13,NULL,NULL,,Webster,NY,14580,2838,Weekly,1/1/54,,16,21,N,,,283816,,"4 year, 9 months",Active,20000,0,0,0
1384,,,Female,Medical Practice Administrator,6/5/17,NULL,NULL,,Rochester,NY,14618,1740,Biweekly,1/1/64,,40,35,E,I am not a protected veteran,,174101,80,"0 year, 8 months",Active,11000,0,0,0
1389,,,Female,5th Flr Nurse Manager,4/20/15,NULL,NULL,,West Henrietta,NY,14586,1625,Biweekly,1/1/67,,40,33,E,I am not a protected veteran,,162512,80,"2 year, 9 months",Active,11000,0,0,0
1390,,,Female,TCC Dining Ambassador,9/11/17,NULL,NULL,,Rochester,NY,14608,1800,Weekly,1/1/98,,20,21,N,I am not a protected veteran,,182176,,"0 year, 5 months",Active,11000,0,0,0
1392,,,Female,Resident Care Aide - The Glen,11/29/17,NULL,NULL,,Rochester,NY,14606,6865,Weekly,1/1/84,,8,21,N,I am not a protected veteran,,660225,,"0 year, 2 months",Active,60000,0,0,0
1394,,,Female,Dining Services Lead,6/22/09,NULL,NULL,,Rochester,NY,14606,1800,Weekly,1/1/91,,40,22,N,,,182111,,"8 year, 7 months",Active,11000,0,0,0
1395,,,Female,HIM Associate,10/18/04,NULL,NULL,,Rochester,NY,14621,1724,Weekly,1/1/85,,37.5,22,N,,,173906,,"13 year, 3 months",Active,11000,0,0,0
1400,,,Female,CNA WTCC1,11/5/07,NULL,NULL,,Rochester,NY,14619,1614,Weekly,1/1/72,,1,22,N,,,161157,,"10 year, 3 months",Active,16110,0,0,0
1404,,,Male,Env Svc Assistant,4/21/08,NULL,NULL,,Webster,NY,14580,1824,Weekly,1/1/82,,37.5,20,N,,,182407,,"9 year, 9 months",Active,11000,0,0,0
1407,,,Female,C/R Resident Relations Supervisor,11/26/12,NULL,NULL,,Rochester,NY,14622,6885,Biweekly,1/1/67,,40,27,E,,,683501,80,"5 year, 2 months",Active,60000,0,0,0
1414,,,Male,P&E Mechanic,1/31/05,NULL,NULL,,Rochester,NY,14609,1822,Weekly,1/1/86,,37.5,25,N,,,182207,,"13 year, 0 month",Active,11000,0,0,0
1418,,,Male,Env Svc Assistant,7/22/13,11/18/13,NULL,,Rochester,NY,14621,1824,Weekly,1/1/90,,24,20,N,,,182407,,"4 year, 2 months",Active,11000,0,0,0
1419,,,Male,C/R Cook,6/26/17,NULL,NULL,,Walworth,NY,14568,6840,Weekly,1/1/97,,40,23,N,I am not a protected veteran,,682117,,"0 year, 7 months",Active,60000,0,0,0
1434,,,Male,Driver,2/4/93,2/11/08,NULL,,Webster,NY,14580,3660,Weekly,1/1/42,,20,21,N,,,160837,,"10 year, 0 month",Active,11000,0,0,0
1437,,,Male,C/R Security Officer,10/9/17,NULL,NULL,,Rochester,NY,14620,6836,Weekly,1/1/70,,16,21,N,I am not a protected veteran,,682607,,"0 year, 4 months",Active,60000,0,0,0
1444,,,Male,C/O Sous Chef,2/20/17,NULL,4/20/18,Another Job,Webster,NY,14580,4830,Weekly,1/1/91,,40,24,N,I am not a protected veteran,,482171,,"0 year, 11 months",Active,40000,1,0,0
1445,,,Female,Home & Heart Program Assistant,1/3/17,NULL,NULL,,Rochester,NY,14613,3650,Weekly,1/1/86,,17,22,N,I am not a protected veteran,,160825,,"1 year, 1 month",Active,16081,0,0,0
1448,,,Male,Env Svc Assistant,11/28/11,NULL,NULL,,Rochester,NY,14621,1824,Weekly,1/1/55,,22.5,20,N,I am not a protected veteran,,182407,,"6 year, 2 months",Active,11000,0,0,0
1450,,,Male,Lead Retail Service Assoc. Bis,10/6/14,NULL,NULL,,Rochester,NY,14617,1828,Weekly,1/1/54,,37.5,22,N,I am not a protected veteran,,182375,,"3 year, 4 months",Active,11000,0,0,0
1455,,,Male,Driver,3/17/92,NULL,12/31/17,Normal Retirement,Rochester,NY,14612,3660,Weekly,1/1/33,,10,21,N,,Voluntary,160837,,"25 year, 9 months",Terminated,16080,1,0,0
1460,,,Male,LPN 3rd Flr,9/10/09,NULL,NULL,,Rochester,NY,14623,1623,Weekly,1/1/61,,40,26,N,,,162342,,"8 year, 5 months",Active,11000,0,0,0
1462,,,Male,PM Cook,11/1/95,NULL,NULL,,Pittsford,NY,14534,1816,Weekly,1/1/62,,40,23,N,,,182174,,"22 year, 3 months",Active,11000,0,0,0
1467,,,Female,CNA 3rd Flr,5/13/02,NULL,NULL,,Rochester,NY,14616,1623,Weekly,1/1/67,,37.5,22,N,,,162352,,"15 year, 9 months",Active,11000,0,0,0
1468,,,Female,Accounting Analyst,12/8/14,NULL,NULL,,Rochester,NY,14617,1862,Biweekly,1/1/88,,40,29,E,I am not a protected veteran,,183102,80,"3 year, 2 months",Active,11000,0,0,0
1469,,,Female,Digital Marketing Specialist,4/3/17,NULL,4/3/18,Illness no return,Webster,NY,14580,1752,Biweekly,1/1/92,,40,28,E,I am not a protected veteran,,183552,80,"0 year, 10 months",Active,11000,1,0,1
1470,,,Female,RN WTCC2,9/25/17,NULL,3/18/18,Abandoned Job,Rochester,NY,14616,1615,Weekly,1/1/69,,40,30,N,I am not a protected veteran,,161237,,"0 year, 4 months",Active,16120,1,0,1
1474,,,Female,Cherry Ridge Marketing Represe,11/27/17,NULL,NULL,,Ontario,NY,14519,6815,Biweekly,1/1/90,,40,28,N,I am not a protected veteran,,683552,80,"0 year, 2 months",Active,60000,0,0,0
1475,,,Female,CNA 7th Flr,8/7/17,NULL,NULL,,Rochester,NY,14613,1627,Weekly,1/1/92,,20,22,N,I am not a protected veteran,,162752,,"0 year, 6 months",Active,11000,0,0,0
1477,,,Female,TCC Dining Ambassador,7/31/95,NULL,NULL,,Rochester,NY,14605,1800,Weekly,1/1/62,,20,21,N,,,182176,,"22 year, 6 months",Active,11000,0,0,0
1480,,,Female,Sr. Program Assistant,9/17/84,NULL,NULL,,Rochester,NY,14621,3610,Weekly,1/1/61,,40,23,N,,,160805,,"33 year, 4 months",Active,16080,0,0,0
1482,,,Female,Nursing Supervisor,6/16/10,NULL,NULL,,Rochester,NY,14620,1601,Weekly,1/1/72,,1,32,N,,,160103,,"7 year, 8 months",Active,11000,0,0,0
1495,,,Male,Grounds Supervisor,1/21/93,NULL,NULL,,Sodus,NY,14451,1823,Biweekly,1/1/70,,40,27,E,,,182252,80,"25 year, 0 month",Active,11000,0,0,0
1496,,,Male,Protective Services Sgt.,3/13/17,NULL,NULL,,Rochester,NY,14622,1826,Weekly,1/1/89,,40,22,N,I am not a protected veteran,,182607,,"0 year, 11 months",Active,11000,0,0,0
1499,,,Male,Security Supervisor,2/6/01,NULL,NULL,,Hamlin,NY,14464,1826,Biweekly,1/1/63,,40,26,E,,,182601,80,"17 year, 0 month",Active,11000,0,0,0
1503,,,Female,CNA 7th Flr,5/5/14,NULL,NULL,,Rochester,NY,14609,1627,Weekly,1/1/85,,20,22,N,,,162752,,"3 year, 9 months",Active,11000,0,0,0
1506,,,Female,Staffing Coordinator,8/29/94,NULL,NULL,,Rochester,NY,14616,1601,Weekly,1/1/61,,40,24,N,,,160106,,"23 year, 5 months",Active,11000,0,0,0
1507,,,Female,Occupational Therapist,1/9/17,NULL,NULL,,Webster,NY,14580,1734,Biweekly,1/1/93,,40,32,E,I am not a protected veteran,,173402,80,"1 year, 1 month",Active,11000,0,0,0
1508,,,Female,Env Svc Assistant,4/4/16,NULL,NULL,,Rochester,NY,14621,1824,Weekly,1/1/65,,37.5,20,N,I am not a protected veteran,,182407,,"1 year, 10 months",Active,11000,0,0,0
1509,,,Female,Env Svc Assistant,12/23/16,NULL,NULL,,Rochester,NY,14609,1824,Weekly,1/1/67,,37.5,20,N,I am not a protected veteran,,182407,,"1 year, 1 month",Active,11000,0,0,0
1510,,,Female,Env Svc Assistant,4/28/08,NULL,NULL,,Penfield,NY,14526,1824,Weekly,1/1/72,,37.5,20,N,,,182407,,"9 year, 9 months",Active,11000,0,0,0
1512,,,Male,Env Svc Assistant,3/12/12,NULL,NULL,,Rochester,NY,14609,1824,Weekly,1/1/53,,20,20,N,,,182407,,"5 year, 11 months",Active,11000,0,0,0
1516,,,Female,Per Diem Speech Path,8/22/16,NULL,NULL,,Rochester,NY,14616,1735,Weekly,1/1/91,,1,74- Per Diem: PT/OT/Speech Path,N,I am not a protected veteran,,173502,,"1 year, 5 months",Active,11000,0,0,0
1518,,,Female,Health Nurse Coordinator,6/14/93,NULL,NULL,,Rochester,NY,14609,3610,Biweekly,1/1/73,,40,30,E,,,160803,80,"24 year, 8 months",Active,16080,0,0,0
1521,,,Female,Life Enrichment Coordinator,7/12/10,NULL,NULL,,Rochester,NY,14609,1750,Biweekly,1/1/84,,40,27,E,,,172602,80,"7 year, 7 months",Active,11000,0,0,0
1525,,,Female,Env Svc Assistant,5/2/16,NULL,NULL,,Rochester,NY,14621,1824,Weekly,1/1/74,,37.5,20,N,I am not a protected veteran,,182407,,"1 year, 9 months",Active,11000,0,0,0
